id,name,url,country,location,timezone,language,bundle,keywords
540,KSNV News 3,https://news3lv.com/,US,Las Vegas,America/Los_Angeles,en,nevada|las-vegas,"KSNV NBC Las Vegas covers news, sports, weather and traffic for the Las Vegas, Nevada area including Paradise, Spring Valley, Henderson, North Las Vegas, Indian Springs, Sloan, Searchlight, Laughlin and Nellis AFB."
541,New Scientist,https://www.newscientist.com/,GB,London,Europe/London,en,,"Science news and long reads from expert journalists, covering developments in science, technology, health and the environment on the website and the magazine."
542,Newsday,https://www.newsday.com/,US,Long Island,America/New_York,en,new-york-city|new-york-state,"Breaking News, data & opinions in business, sports, entertainment, travel, lifestyle, plus much more. Newsday.com is the leading news source for Long Island & NYC."
543,Gorakhapatra,https://gorkhapatraonline.com/,NP,Kathmandu,Asia/Kathmandu,ne,,"Gorkhapatra is the oldest national daily newspaper of Nepal. It is run by Gorkhapatra Sansthan. It was launched as a weekly in May
			  1901 and became a daily newspaper in 1961.Gorkhapatra Online is Nepal's oldest newspaper which is now available in digital form as well.Nepal's digital newspaper, online destination for Nepal news, views, reviews, features, blogs and audio video content covering Nepali politics, society, market, arts, entertainment, global, sports."
544,PBS News Hour,https://www.pbs.org/newshour/,US,Washington,America/New_York,en,us-national,"PBS NewsHour is a public media news organization with a nightly hour-long television broadcast and a robust digital footprint across the web and social media. Anchored by managing editor Judy Woodruff, the NewsHour features the latest news, analysis, field reports from around the world, live studio interviews and discussions. For more than 45 years, millions have turned to PBS NewsHour for the solid, reliable reporting that has made it one of the most trusted news programs on television and online."
545,Newslaundry,https://www.newslaundry.com/,IN,New Delhi,Asia/Kolkata,en,,"Reader-supported independent media organisation | News and analysis in podcast, video, text and comics."
546,Staunton Daily News Leader,https://www.newsleader.com/,US,Staunton,America/New_York,en,virginia|gannett,"Staunton Virginia News - newsleader.com is the hompage of The News Leader with in depth coverage of local news, sports, entertainment and lifestyles."
547,Newsmax,https://www.newsmax.com/,US,Boca Raton,America/New_York,en,us-right-wing,"Top news headlines, videos and comments from Newsmax.com covering politics, the White House, Congress, Hollywood. U.S. news you can trust on health, personal finance, faith, freedom issues and more."
548,Fairbanks Daily News-Miner,https://www.newsminer.com/,US,Fairbanks,America/Anchorage,en,alaska,"Fairbanks, Alaska, news, sports and weather. The Voice of the Interior"
549,New Statesman,https://www.newstatesman.com/uk,GB,London,Europe/London,en,,"The New Statesman is the leading progressive political and cultural magazine in the United Kingdom and around the world. Covering UK current affairs, international and cultural events."
550,New Yorker,https://www.newyorker.com/,US,New York City,America/New_York,en,new-york-city|new-york-state,"Reporting, Profiles, breaking news, cultural coverage, podcasts, videos, and cartoons from The New Yorker."
551,NHK,https://www3.nhk.or.jp/news/,JP,Tokyo,Asia/Tokyo,ja,,NHKのニュースサイト「NHK NEWS WEB」。国内外の取材網を生かし、さまざまな分野のニュースをいち早く、正確にお伝えします。ニュース速報はもちろん、現場の記者が執筆した読み応えのある特集記事や、ＮＨＫならではの豊富な動画コンテンツも。
552,New Hampshire Public Radio,https://www.nhpr.org/,US,Manchester,America/New_York,en,new-hampshire,News from New Hampshire and NPR
553,Nieman Lab,https://www.niemanlab.org/,US,Cambridge,America/New_York,en,massachusetts,
554,Nikkei,https://www.nikkei.com/,JP,Tokyo,Asia/Tokyo,ja,,日本経済新聞の電子版。日経や日経ＢＰの提供する経済、企業、国際、政治、マーケット、情報・通信、社会など各分野のニュース。ビジネス、マネー、IT、スポーツ、住宅、キャリアなどの専門情報も満載。
555,New Jersey Herald,https://www.njherald.com/,US,Newton,America/New_York,en,new-jersey|gannett,"Get the latest breaking news, sports, entertainment and obituaries in Newton, NJ from New Jersey Herald."
556,Not the Bee,https://notthebee.com/,US,Jupiter,America/New_York,en,us-right-wing|satire,"Not the Bee is your source for headlines that should be satire, but aren't."
557,northjersey.com,https://www.northjersey.com/,US,Hackensack,America/New_York,en,new-jersey|gannett,"Welcome to NorthJersey.com, home to the latest local, state, and national news coverage for Bergen County and surrounding areas."
558,The Norwich Bulletin,https://www.norwichbulletin.com/,US,Norwich,America/New_York,en,connecticut|gannett,"Get the latest breaking news, sports, entertainment and obituaries in Norwich, CT from Norwich Bulletin."
559,Novaya Gazeta,https://novayagazeta.eu/,RU,Moscow,Europe/Moscow,ru,,"Говорим как есть. Пишем о происходящем в России, Украине и Европе. Новости, аналитика, мнения экспертов, специальные репортажи и журналистские расследования."
560,NPR,https://www.npr.org/,US,Washington,America/New_York,en,us-national,"Top stories in the U.S. and world news, politics, health, science, business, music, arts and culture. Nonprofit journalism with a mission. This is NPR."
561,NRK,https://www.nrk.no/,NO,Oslo,Europe/Oslo,no,,"NRK.no er Norges største tilbud på nett: nyheter fra Norge og verden, lokalnyheter, radio- og tv-program, podcast, vær, helse-, kultur-, underholdning-, humor- og debattstoff."
