id,url,name,description
26,https://google.com.br,Google, "Pesquise informações do mundo, incluindo páginas web, imagens, vídeos e muito mais. O Google tem muitos recursos especiais para o ajudar a encontrar exatamente o que procura..."
174,https://uol.com.br,UOL - Seu universo online,"UOL, a maior empresa brasileira de conteúdo, serviços digitais e tecnologia com vários canais de jor"
203,https://mercadolivre.com.br,Mercado Livre Brasil - Frete Grátis no mesmo dia,Compre produtos com Frete Grátis no mesmo dia no Mercado Livre Brasil. Encontre milhares de marcas e
1093,https://abril.com.br,Assine Abril - Assinar Revista Digital e Impressa,Tenha uma variedade de revistas online e impressas da Editora Abril e aproveite conteúdos de qualida
1389,https://otvfoco.com.br,TV Foco | Seu portal de notícias da tv e do entretenimento 📺,O TV Foco desde 2006 leva as melhores notícias da tv para milhares de brasileiros todos os dias. Tud
1470,https://techtudo.com.br,"TechTudo: tecnologia, celular, computador e games","O TechTudo reúne as principais notícias de tecnologia, reviews de celulares, TVs e computadores, alé"
1494,https://bol.uol.com.br,BOL - Brasil Online,O BOL (Brasil Online) é um serviço de email grátis pioneiro no país. O portal traz ainda bate-papo (
1534,https://letras.mus.br,LETRAS.MUS.BR - Letras de músicas,
1547,https://correios.com.br,Correios,
1759,https://baixaki.com.br,Baixaki - Milhares de apps e jogos para você,No baixaki você encontra os apps e programas mais buscados e uma seleção dos principais jogos que es
1923,https://bb.com.br,[bb.com.br],
2059,https://vagalume.com.br,VAGALUME - Letras de Músicas,"Cante certo com as letras de músicas e traduções do Vagalume! Milhões de letras de músicas, traduçõe"
2097,https://folha.uol.com.br,NotÃ­cias de hoje do Brasil e do Mundo | Folha de S.Paulo,
2138,https://tecmundo.com.br,,
2637,https://ig.com.br,"iG - Últimas notícias, fotos, vídeos, esportes, entretenimento e mais.","Leia também sobre Celebridades, Moda, Horóscopo, Games, Cultura, Economia, Turismo, Saúde e notícias"
2681,https://terra.com.br,"Terra - Seu Portal de Notícias, Diversão e Esportes","Acompanhe no Terra as últimas notícias do Brasil e do mundo sobre Entretenimento, Esportes, Tecnolog"
2691,https://esporte.uol.com.br,UOL Esporte - Acompanhe ao vivo os principais eventos esportivos no Brasil e do mundo - UOL Esporte,"Veja resultados, notícias, entrevistas, fotos, vídeos e os bastidores do esporte. Acompanhe ao vivo "
2865,https://noticias.uol.com.br,UOL Notícias | Notícias do Dia no Brasil e no Mundo,Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos 
2956,https://bradesco.com.br,BANCO BRADESCO | Desafie o futuro,Conheça nossas facilidades e aproveite os serviços on-line que te ajudam a cuidar do seu dinheiro. A
